objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement														
D011,https://digital.library.pitt.edu/islandora/object/pitt%3A31735054856368,,,"A Voyage to the Eastern Part of Terra Firma, or the Spanish Main, in South-America, During the Years 1801, 1802, 1803, and 1804. Containing a Description of the Territory Under the Jurisdiction of the Captain General of Caraccas, Composed of the Provinces of Venezuela, Maracaibo, Varinas, Spanish Guiana, Cumana, and the Island of Margaretta	 and Embracing Every Thing Relative to the Discovery, Conquest, Topography, Legislation, Commerce, Finance, Inhabitants and Productions of the Provinces, Together with a View of the Manners and Customs of the Spaniards, and the Savage as Well as Civilized Indians.",François Joseph Pons,1806,Pons F. J. de Washington Irving Samuel L Mitchill Peter Maverick Benjamin Tanner and J. B Poiron. 1806. A Voyage to the Eastern Part of Terra Firma or the Spanish Main in South-America during the Years 1801 1802 1803 and 1804 : Containing a Description of the Territory Under the Jurisdiction of the Captain-General of Caraccas Composed of the Provinces of Venezuela Maracaibo Varinas Spanish Guiana Cumana and the Island of Margaretta and Embracing Every Thing Relative to the Discovery Conquest Topography Legislation Commerce Finance Inhabitants and Productions of the Provinces Together with a View of the Manners and Customs of the Spaniards and the Savage As Well As Civilized Indians. New-York: Printed by and for I. Riley.,misioneros	 Maracaibo	 perlas	 ríos	 puertos	 costumbres	 eclipses	 astronomía	 armada	 tributo	 indios	 vientos,,,,,,,application/pdf,en,Public domain,		
"D012,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/2241,,,""Aviso histórico, político y geográfico, con noticias más importantes del Perú, Tierra Firme, Chile y Nuevo Reino de Granada desde 1535 hasta 1740, por... Gobernador y Comandante General del Reino de Panamá y Presidente de ambas Audiencias. "",Dionisio de Alsedo y Herrera,1740,""Alsedo y Herrera, Dionisio de. (1690-1777), Aviso histórico, político y geográfico con las noticias más particulares del Perú, Tierra Firme, Chile y Nuevo Reyno de Granada, Editorial	Madrid: D. M. Peraltade, 1740."",relación"	 virreyes	 ingleses	 comercio	 conflictos	 política internacional,,,,,,,application/pdf,es,Public domain,									
D013,https://museodellibrovenezolano.libroria.com/descripcion-exacta-de-la-provincia-de-benezuela/,,,Descripcion exacta de la provincia de Venezuela,Joseph Luis de Cisneros,1764,"isneros, Joseph Luis de.. Descripcion exacta de la Provincia de Venezuela. Madrid: Librería General de Victoriano Suárez, 1912.",cultivo	 comercio	 ciudades	 trajes	 costumbres	 comercio	 agricultura	 fauna	 flora,,,,,,,application/pdf,es,Public domain,						
D014,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/3313,,,Historia de las misiones de los llanos de Casanare y los rios Orinoco y Meta,Juan Rivero,1736,"Rivero, J., Guerra Azuola, R. (1883). Historia de las misiones de los llanos de Casanare y los rios Orinoco y Meta. Bogota: Impr. de Silvestre y compañia.  Banco de la República",ríos	 misioneros	 indígenas	 poblamiento	 territorio	 misiones	 evangelización	 reducciones	 jesuitas	 llanos ,,,,,,,application/pdf,es,Public domain,					
D015,https://revistas.unicartagena.edu.co/index.php/eltallerdelahistoria/article/view/732/677,,,Descripción geográfica militar y política de la provincia de Cartagena de Indias,Manuel de Anguiano,1805,"Suárez, Senén & Velasco, Jandhy. (2015). “Descripción geografica militar y política de la provincia de Cartagena de Indias [1805]”, por el ingeniero militar Manuel de Anguiano.. El Taller de la Historia. 7. 457-472. 10.32997/2382-4794-vol.7-num.7-2015-732.",territorio	 maderas	 indios	 comercio	 ríos	 militar	 agricultura	 geografía	 Cartagena,,,,,,,application/pdf,es,Public domain,						
D016,https://revistas.unal.edu.co/index.php/achsc/article/view/36338/37911,,,Noticia Historial de la Provincia de Cartagena de Indias,Diego de Paredo,1772,"Blanco Barros, José Agustín. 1972. Noticia Historial de la provincia de Cartagena de las Indias, año 1772. Por Diego de Peredo. Anuario Colombiano De Historia Social Y De La Cultura	 Núm. 6-7 (1972)	 119-156. Universidad Nacional de Colombia - Sede Bogotá - Facultad de Ciencias Humanas - Departamento de Historia.",ciudad	 administrativo	 hacienda	 religión	 evangelización	 territorio	 geografía	 población	 raza	 indios	 esclavos	 población	 demografía,,,,,,,application/pdf,es,Public domain,
D017,https://www.inciva.gov.co/storage/Clientes/INCIVA/Principal/imagenes/contenidos/13105-CESPEDESIA%20Sup.%20No.4%20Nos.%2045-46%20Ene-Jun%201983%20Pag%205-556-.pdf,,,Memoria instructiva de las provincias de Muzos y Colima,Martín de Urdaneta,1796,"Martin De Urdaneta ""Memoria instructiva de las provincias de Muzos y Colima"". En: Revista Cespedesia. Sumplemento, nº 4, Cali (1983) pp. 479-493.",topografía	 ríos	 clima	 geografía	 población	 demografía	 curatos	 administración	 hacienda	 comercio	 minería,,,,,,,application/pdf,es,Public domain,				
D018,http://bdh-rd.bne.es/viewer.vm?id=0000046090&page=1,,,"Relación Histórica Del Viage a La América Meridional Hecho de Orden De S. Mag. Para Medir Algunos Grados De Meridiano terrestre, Y Venir Por Ellos En Conocimiento De La Verdadera Figura, Y Magnitud De La Tierra, Con Otras Varias Observaciones Astronomicas, Y Phisicas. Madrid: A. Marin. ",Antonio de Ulloa	 Jorge Juan,1748,Juan Jorge and Antonio de Ulloa. 1748. Relacion Historica Del Viage a La America Meridional Hecho De Orden De S. Mag. Para Medir Algunos Grados De Meridiano Terrestre Y Venir Por Ellos En Conocimiento De La Verdadera Figura Y Magnitud De La Tierra Con Otras Varias Observaciones Astronomicas Y Phisicas. Madrid: A. Marin. ,medición	 viaje	 meridiano	 grados	 astronomía	 expedición	 Indias	 Ecuador	 Quito,,,,,,,application/pdf,es,Public domain,					
D019,http://bdh-rd.bne.es/viewer.vm?id=0000041454&page=1,,,"Noticias americanas : entretenimientos phisicos-historicos, sobre la america meridional, y la septentrional oriental : comparacion general de los territorios, climas, y producciones en las tres especies, vegetales, animales, y minerales : con relacion particular de las petrificaciones de cuerpos marinos de los indios naturales de aquellos paises, sus costumbres, y usos : de las antiguedades ...",,1772,"Ulloa, Antonio. 1772. ""Noticias americanas: entretenimientos phisicos hitóricos, sobre la América meridional, y la sptentrional oriental..., Madrid, Imprenta de Don Franscisco Manuel de Mena.",noticias	 naturaleza	 geografía	 Indias	 historia	 ciencia	 bótanica,,,,,,,application/pdf,es,Public domain,								
D020,https://drive.google.com/file/d/1rzZmFvwphlzMXRcYvHYavPBI2UbYdF-7/view?usp=sharing,,,Informe sobre la Nueva Barcelona,Anónimo,1796,"Arellano, Antonio. 1964. Relaciones geográficas de Venezuela, ""Informe sobre la Nueva Barcelona, año de 1796"", págs 477-493. Caracas: Biblioteca de la Academia Nacional de la Historia.",agricultura	 industria	 comercio	 población	 riqueza,,,,,,,application/pdf,es,Public domain,										
D021,https://drive.google.com/file/d/1Rn54y2T3Ug2I8_W5vsgotVN4LBNBk5MZ/view?usp=sharing,,,"Informe sobre la Provincia de Maracaibo, hecha al Consulado de Caracas por el diputado consular del Puerto de Maracaibo",,1764,"Arellano, Antonio. 1964. Relaciones geográficas de Venezuela, ""Informe sobre la provincia de Maracaibo"", págs 461-473. Caracas: Biblioteca de la Academia Nacional de la Historia.",Maracaibo	 política	 economía	 informe	 descripción	 progreso	 bienestar	 administración,,,,,,,application/pdf,es,Public domain,							
D022,https://drive.google.com/file/d/1PC734H4ZeTUJyGFbqNzSHnX8YUASa7bS/view?usp=sharing,,,Noticias de las Provincias de Maracaibo y Barinas,,1787,"Arellano, Antonio. 1964. Relaciones geográficos de Venezuela, ""Noticias de las Provincias de Maracaibo y Barinas"". Caracas: Biblioteca de la Academia Nacional de la Historia.",Barinas	 Maracaibo	 pacificación	 indios	 comercio	 contrabando	 negros,,,,,,,application/pdf,es,Public domain,								
