objectid;filename;youtubeid;vimeoid;title;creator;date;description;subject;location;latitude;longitude;source;identifier;type;format;language;rights;rightsstatement
D021;https://drive.google.com/file/d/1Rn54y2T3Ug2I8_W5vsgotVN4LBNBk5MZ/view?usp=sharing;;;Informe sobre la Provincia de Maracaibo, hecha al Consulado de Caracas por el diputado consular del Puerto de Maracaibo;José Domingo Rus;1764;"Arellano, Antonio. 1964. Relaciones geográficas de Venezuela, ""Informe sobre la provincia de Maracaibo"", págs 461-473. Caracas: Biblioteca de la Academia Nacional de la Historia.";"Maracaibo; política; economía; informe; descripción; progreso; bienestar; administración";;;;;;;application/pdf;es;Public domain;
D022;https://drive.google.com/file/d/1PC734H4ZeTUJyGFbqNzSHnX8YUASa7bS/view?usp=sharing;;;Noticias de las Provincias de Maracaibo y Barinas;Anónimo;1787;"Arellano, Antonio. 1964. Relaciones geográficos de Venezuela, ""Noticias de las Provincias de Maracaibo y Barinas"". Caracas: Biblioteca de la Academia Nacional de la Historia.";"Barinas; Maracaibo; pacificación; indios; comercio; contrabando; negros";;;;;;;application/pdf;es;Public domain;
D023;https://www.cervantesvirtual.com/obra-visor/tres-tratados-de-america-siglo-xviii--0/html/002bf6fe-82b2-11df-acc7-002185ce6064_116.htm;;;Razón sobre el estado y gobernación política y militar de la jurisdicción de Quito en 1754;Juan Pío Montúfar y Frasso;1754;"Montufar y Frasso, Juan Pío (Marqués de Salvalegre) ""Razón sobre el Estado y Gobernación Política y militar de la Jurisdicción de Quito en 1754"", en: Tres Tratados de América (Madrid) pp. 113-185.";"Quito; recursos; población; territorio; ciudades; villas";;;;;;;application/pdf;es;Public domain;
D024;https://www.cervantesvirtual.com/obra-visor/tres-tratados-de-america-siglo-xviii--0/html/002bf6fe-82b2-11df-acc7-002185ce6064_8.htm;;;Relación Histórica, Política, y moral de la Ciudad de Cuenca;Joaquín Merisalde y Santistéban;1741;"Merisalde y Santistéban, Joaquín ""Relación Histórica, Política, y moral de la Ciudad de Cuenca"" en Tres Tratados de América (Madrid)";"Cuenca; pueblos; curas; idioma; indígenas; enseñanza población";;;;;;;application/pdf;es;Public domain;
D025;https://babel.banrepcultural.org/digital/collection/p17054coll10/id/3031;;;De la ciudad, conventos y otras noticias de Cuenca. Tomado de Maravillas de la Naturaleza ;Juan de Santa Gertrudis;1741;Juan, . S. G. (1956). Maravillas de la naturaleza. Bogotá: Empresa Nacional de Publicaciones.;"viajes; geografía; evangelización; indígenas";;;;;;;application/pdf;es;Public domain;
D026;http://www.memoriachilena.gob.cl/archivos2/pdfs/MC0043102.pdf;;;Compendio Historico De La Provincia, Partidos, Ciudades, Astilleros, Rios, Y Puerto De Guayaguil En Las Costas De La Mar Del Sur. ;Dionisio de Alsedo y Herrera;1750;Alsedo y Herrera, Dionisio de, (1690-1777) Compendio historico de la provincia partidos, ciudades, astilleros, rios, y puerto de Guayaquil en las costas de la mar del sur. Madrid: Por Manuel Fernandez, 174;"puerto; Guayaquil; pirateria; topografía; comercio; productos; fauna; flora; barcos; arquitectura; demografía; historia";;;;;;;application/pdf;es;Public domain;
D027;https://drive.google.com/file/d/1pLfuRtmr8b4S2yaZ9hQxP_SOwhCft3vn/view?usp=sharing;;;Informe sobre la provincia de Santiago de Atalayas;Gregorio Sánnchez Manganeque ;1765;"Gregorio Sánchez Manganeque ""Informe sobre el estado de la Provincia de Santiago de las Atalayas. 1765"". En: Revista Cespedesia. Sumplemento, nº 4, Cali (1983) pp. 397-404.";"Santiago de Atalayas; demografía; pueblos; recursos; indígenas; relaciones geográficas; ganado; clima; tributación; evangelización";;;;;;;application/pdf;es;Public domain;
D028;http://repositorio.casadelacultura.gob.ec/bitstream/34000/687/1/FR1-L-000021-Alsedo-Descripcion.pdf;;; Descripción Geográfica De La Real Audiencia De Quito. ;Dionisio de Alsedo y Herrera;1754;Alsedo, Dionisio. (1915). Descripción geográfica de la Real Audiencia de Quito que escribió Don Dionisio de Alsedo y Herrera. S.E. Quito. XXXV p., [2] h., 100 p;"Quito; geografía; caminos; ríos; clima, recursos; provincias; pueblos; ciudades";;;;;;;application/pdf;es;Public domain;
D029;;;;;;;;;;;;;;;application/pdf;es;Public domain;
D030;;;;;;;;;;;;;;;application/pdf;es;Public domain;
D031;;;;;;;;;;;;;;;application/pdf;es;Public domain;
D032;;;;;;;;;;;;;;;;;;
D033;;;;;;;;;;;;;;;;;;
D034;;;;;;;;;;;;;;;;;;
D035;;;;;;;;;;;;;;;;;;
D036;;;;;;;;;;;;;;;;;;
D037;;;;;;;;;;;;;;;;;;
D038;;;;;;;;;;;;;;;;;;
D039;;;;;;;;;;;;;;;;;;
D040;;;;;;;;;;;;;;;;;;
D041;;;;;;;;;;;;;;;;;;
D042;;;;;;;;;;;;;;;;;;
D043;;;;;;;;;;;;;;;;;;
D044;;;;;;;;;;;;;;;;;;
D045;;;;;;;;;;;;;;;;;;
D046;;;;;;;;;;;;;;;;;;
D047;;;;;;;;;;;;;;;;;;
D048;;;;;;;;;;;;;;;;;;
